Lat,long,Rain
-35.7151,142.3569,24.983333333333338
-35.8726,141.3884,25.833333333333332
-35.7833,143.6667,27.614863945578225
-35.7170,143.1074,29.69568823152158
-35.5574,142.5432,27.761028492836527
-35.9743,143.6099,31.717829226847915
-36.0000,143.5500,32.693697916666665
-35.7344,142.3703,28.25543689320389
-35.9167,142.1667,29.430729166666662
-35.9000,142.8000,28.55895059223184
-35.5414,143.5284,27.121805836139174
-35.6000,143.8000,26.311843584656074
-35.6694,143.3769,30.332646167557932
-35.4500,143.6333,33.963977072310406
-35.4609,143.6286,28.108287057769818
-35.6071,142.5811,27.14151126651127
-35.9653,143.7809,29.81705586080585
-35.7980,142.8767,29.333645171957656
-35.7000,143.3000,29.811627906976746
-35.9963,143.0353,29.313372492647304
-35.8500,143.1667,29.13572871572872
-35.7000,142.0000,24.938497206103595
-35.3832,142.1869,27.869078910220207
-35.9296,143.4992,30.217370699475957
-35.8975,141.9950,30.391283622744293
-35.8317,141.9370,30.41623612154604
-35.8715,141.8172,29.663122155622144
-35.8000,142.4000,24.68743658810326
-35.5046,142.8493,27.816013257575758
-35.5254,142.7267,26.697075629173092
-35.4004,142.4380,24.95913986252696
-35.3406,143.5533,28.983608205953328
-35.3667,143.5833,21.312878787878788
-35.5000,141.9000,23.30172820643409
-35.5000,143.7000,28.14739692319615
-35.3629,142.9853,25.581076956616517
-35.4699,143.2669,29.16813494949495
-35.3667,143.1000,26.55994444444445
-35.7500,142.8000,27.818829676071072
-35.9417,141.9350,28.633357193987127
-35.6803,142.6664,28.837373796513127
-35.8167,143.0333,28.8165300546448
-35.4667,142.3000,28.11381772268136
-35.4667,142.4667,27.54627976190476
-35.8409,143.5145,31.073731350199235
-35.9000,142.3000,29.843061189993247
-35.8000,143.6000,27.84157778391821
-35.7000,143.9000,26.645930232558143
-35.5000,143.5000,28.555314625850343
-36.0000,143.7000,29.582047325102877
-36.0167,143.3833,30.97584175084175
-35.7000,142.4000,29.13119658119658
-35.7000,143.5000,25.466881720430106
-35.4000,143.7000,27.99633095662507
-35.6000,143.1000,25.11347842261904
-35.8000,143.4000,28.645075757575754
-35.9000,143.4000,27.723563218390797
-35.4000,143.5000,27.17611459421804
-35.4000,143.1000,24.053282828282825
-35.8167,143.0500,29.416534090909096
-35.7500,141.9000,29.03902198678514
-36.0000,143.5000,34.15
-35.9167,143.7500,33.44861111111111
-35.4167,142.6667,27.60243764172336
